tag,dataset,seed,mode,placement,gens,pop,wall_ms,placed,total,n_sheets,fitness,bbox_width,util_strip,util_sheet,overlap_area
q3-allrot,rings,47,1,1,999,30,10033.8,26,26,1,1985597.439978,1028.054,0.53045,0.27267,0.000000
q4b-origin,rects,7,1,1,999,30,10027.3,28,28,1,1986179.546855,1220.398,0.89906,0.54860,0.000000
q4b-origin,rects,17,1,1,999,30,10005.0,28,28,1,1986179.546855,1220.398,0.89906,0.54860,0.000000
q4b-origin,rects,27,1,1,999,30,10015.1,28,28,1,1986156.788443,1205.892,0.90987,0.54860,0.000000
q4b-origin,rects,37,1,1,999,30,10017.7,28,28,1,1986160.543462,1209.087,0.90747,0.54860,0.000000
q4b-origin,rects,47,1,1,999,30,10014.2,28,28,1,1986181.077103,1220.398,0.89906,0.54860,0.000000
q4b-origin,concave,7,1,1,999,30,10056.7,45,45,1,1986783.002666,1507.295,0.68104,0.51326,0.000000
q4b-origin,concave,17,1,1,999,30,10023.9,45,45,1,1986803.350423,1524.669,0.67328,0.51326,0.000000
q4b-origin,concave,27,1,1,999,30,10099.1,45,45,1,1986828.551423,1537.287,0.66775,0.51326,0.000000
q4b-origin,concave,37,1,1,999,30,10048.9,45,45,1,1986788.006652,1515.531,0.67734,0.51326,0.000000
q4b-origin,concave,47,1,1,999,30,10056.1,45,45,1,1986810.631665,1525.847,0.67276,0.51326,0.000000
q4b-origin,rings,7,1,1,999,30,10026.4,26,26,1,1985578.692312,1028.054,0.53045,0.27267,0.000000
q4b-origin,rings,17,1,1,999,30,10011.2,26,26,1,1985578.692316,1028.054,0.53045,0.27267,0.000000
q4b-origin,rings,27,1,1,999,30,10010.9,26,26,1,1985578.692317,1028.054,0.53045,0.27267,0.000000
q4b-origin,rings,37,1,1,999,30,10031.3,26,26,1,1985578.692316,1028.054,0.53045,0.27267,0.000000
q4b-origin,rings,47,1,1,999,30,10024.2,26,26,1,1985578.692312,1028.054,0.53045,0.27267,0.000000
q5-comp0,rects,7,1,1,999,30,10015.9,28,28,1,1986304.948424,1221.349,0.89836,0.54860,0.000000
q5-comp0,rects,17,1,1,999,30,10006.6,28,28,1,1986304.948424,1221.349,0.89836,0.54860,0.000000
q5-comp0,rects,27,1,1,999,30,10008.9,28,28,1,1986305.953962,1221.349,0.89836,0.54860,0.000000
q5-comp0,rects,37,1,1,999,30,10016.7,28,28,1,1986304.948424,1221.349,0.89836,0.54860,0.000000
q5-comp0,rects,47,1,1,999,30,10005.8,28,28,1,1986298.518498,1220.398,0.89906,0.54860,0.000000
q5-comp0,concave,7,1,1,999,30,10026.1,45,45,1,1986947.912682,1545.914,0.66403,0.51326,0.000000
q5-comp0,concave,17,1,1,999,30,10031.6,45,45,1,1986901.729146,1499.191,0.68472,0.51326,0.000000
q5-comp0,concave,27,1,1,999,30,10014.1,45,45,1,1986888.508386,1517.875,0.67629,0.51326,0.000000
q5-comp0,concave,37,1,1,999,30,10041.9,45,45,1,1986920.808229,1495.355,0.68648,0.51326,0.000000
q5-comp0,concave,47,1,1,999,30,10017.6,45,45,1,1986887.359933,1506.589,0.68136,0.51326,0.000000
q5-comp4,rects,7,1,1,999,30,10011.7,28,28,1,1986181.077103,1220.398,0.89906,0.54860,0.000000
q5-comp4,rects,17,1,1,999,30,10030.5,28,28,1,1986175.857333,1217.788,0.90098,0.54860,0.000000
q5-comp4,rects,27,1,1,999,30,10023.0,28,28,1,1986155.756048,1206.891,0.90912,0.54860,0.000000
q5-comp4,rects,37,1,1,999,30,10037.0,28,28,1,1986158.390886,1206.891,0.90912,0.54860,0.000000
q5-comp4,rects,47,1,1,999,30,10026.0,28,28,1,1986181.077103,1220.398,0.89906,0.54860,0.000000
q5-comp4,concave,7,1,1,999,30,10040.3,45,45,1,1986809.027597,1520.307,0.67521,0.51326,0.000000
q5-comp4,concave,17,1,1,999,30,10056.4,45,45,1,1986758.689930,1495.912,0.68622,0.51326,0.000000
q5-comp4,concave,27,1,1,999,30,10079.3,45,45,1,1986779.863821,1511.459,0.67916,0.51326,0.000000
q5-comp4,concave,37,1,1,999,30,10041.1,45,45,1,1986787.740408,1514.796,0.67767,0.51326,0.000000
q5-comp4,concave,47,1,1,999,30,10126.6,45,45,1,1986765.969009,1503.904,0.68257,0.51326,0.000000
q5b-comp0,concave,57,1,1,999,30,10042.9,45,45,1,1986925.060365,1497.504,0.68549,0.51326,0.000000
q5b-comp0,concave,67,1,1,999,30,10035.1,45,45,1,1986920.261680,1512.923,0.67850,0.51326,0.000000
q5b-comp0,concave,77,1,1,999,30,10017.3,45,45,1,1986930.965701,1500.786,0.68399,0.51326,0.000000
q5b-comp0,concave,87,1,1,999,30,10012.7,45,45,1,1986887.900867,1517.674,0.67638,0.51326,0.000000
q5b-comp0,concave,97,1,1,999,30,10050.5,45,45,1,1986926.490125,1532.169,0.66998,0.51326,0.000000
q5b-comp2,concave,57,1,1,999,30,10027.0,45,45,1,1986797.490540,1520.927,0.67493,0.51326,0.000000
q5b-comp2,concave,67,1,1,999,30,10076.8,45,45,1,1986788.966702,1521.353,0.67475,0.51326,0.000000
q5b-comp2,concave,77,1,1,999,30,10105.3,45,45,1,1986837.473954,1535.527,0.66852,0.51326,0.000000
q5b-comp2,concave,87,1,1,999,30,10080.4,45,45,1,1986777.719016,1512.733,0.67859,0.51326,0.000000
q5b-comp2,concave,97,1,1,999,30,10059.1,45,45,1,1986796.110272,1518.751,0.67590,0.51326,0.000000
q5b-comp4,concave,57,1,1,999,30,10107.6,45,45,1,1986769.755726,1505.409,0.68189,0.51326,0.000000
q5b-comp4,concave,67,1,1,999,30,10029.4,45,45,1,1986806.825061,1524.644,0.67329,0.51326,0.000000
q5b-comp4,concave,77,1,1,999,30,10030.2,45,45,1,1986761.777170,1500.361,0.68419,0.51326,0.000000
q5b-comp4,concave,87,1,1,999,30,10023.5,45,45,1,1986818.355438,1530.619,0.67066,0.51326,0.000000
q5b-comp4,concave,97,1,1,999,30,10091.7,45,45,1,1986745.358158,1493.238,0.68745,0.51326,0.000000
q6-fitness,rects,7,1,1,999,30,10020.1,28,28,1,1.613727,1218.158,0.90071,0.54860,0.000000
q6-fitness,rects,17,1,1,999,30,10006.1,28,28,1,1.613059,1216.826,0.90170,0.54860,0.000000
q6-fitness,rects,27,1,1,999,30,10027.3,28,28,1,1.608314,1207.363,0.90876,0.54860,0.000000
q6-fitness,rects,37,1,1,999,30,10019.2,28,28,1,1.608682,1208.098,0.90821,0.54860,0.000000
q6-fitness,rects,47,1,1,999,30,10023.7,28,28,1,1.608077,1206.891,0.90912,0.54860,0.000000
q6-fitness,concave,7,1,1,999,30,10129.0,45,45,1,1.757210,1499.561,0.68455,0.51326,0.000000
q6-fitness,concave,17,1,1,999,30,10109.6,45,45,1,1.765736,1519.443,0.67559,0.51326,0.000000
q6-fitness,concave,27,1,1,999,30,10009.4,45,45,1,1.761986,1510.203,0.67973,0.51326,0.000000
q6-fitness,concave,37,1,1,999,30,10060.0,45,45,1,1.770313,1529.408,0.67119,0.51326,0.000000
q6-fitness,concave,47,1,1,999,30,10109.2,45,45,1,1.771914,1533.621,0.66935,0.51326,0.000000
q6-fitness,rings,7,1,1,999,30,10013.5,26,26,1,1.516118,1023.503,0.53281,0.27267,0.000000
q6-fitness,rings,17,1,1,999,30,10035.0,26,26,1,1.516118,1023.503,0.53281,0.27267,0.000000
q6-fitness,rings,27,1,1,999,30,10035.3,26,26,1,1.516118,1023.503,0.53281,0.27267,0.000000
q6-fitness,rings,37,1,1,999,30,10028.0,26,26,1,1.516118,1023.503,0.53281,0.27267,0.000000
q6-fitness,rings,47,1,1,999,30,10017.7,26,26,1,1.516118,1023.503,0.53281,0.27267,0.000000
q6b-fitness,concave,57,1,1,999,30,10142.0,45,45,1,1.765559,1514.873,0.67763,0.51326,0.000000
q6b-fitness,concave,67,1,1,999,30,10116.1,45,45,1,1.767142,1518.030,0.67622,0.51326,0.000000
q6b-fitness,concave,77,1,1,999,30,10061.6,45,45,1,1.771108,1525.478,0.67292,0.51326,0.000000
q6b-fitness,concave,87,1,1,999,30,10022.1,45,45,1,1.761400,1512.654,0.67863,0.51326,0.000000
q6b-fitness,concave,97,1,1,999,30,10058.2,45,45,1,1.762001,1513.853,0.67809,0.51326,0.000000
q6c-2wh,rects,7,1,1,999,30,10016.0,28,28,1,1.736735,1227.283,0.89401,0.54860,0.000000
q6c-2wh,rects,17,1,1,999,30,10017.7,28,28,1,1.736735,1227.283,0.89401,0.54860,0.000000
q6c-2wh,rects,27,1,1,999,30,10008.9,28,28,1,1.736735,1227.283,0.89401,0.54860,0.000000
q6c-2wh,rects,37,1,1,999,30,10022.5,28,28,1,1.736735,1227.283,0.89401,0.54860,0.000000
q6c-2wh,rects,47,1,1,999,30,10030.5,28,28,1,1.736735,1227.283,0.89401,0.54860,0.000000
q6c-2wh,concave,7,1,1,999,30,10036.4,45,45,1,1.843988,1527.322,0.67211,0.51326,0.000000
q6c-2wh,concave,17,1,1,999,30,10107.6,45,45,1,1.846706,1529.923,0.67097,0.51326,0.000000
q6c-2wh,concave,27,1,1,999,30,10104.6,45,45,1,1.839037,1505.123,0.68202,0.51326,0.000000
q6c-2wh,concave,37,1,1,999,30,10135.7,45,45,1,1.837984,1501.973,0.68345,0.51326,0.000000
q6c-2wh,concave,47,1,1,999,30,10103.7,45,45,1,1.838818,1506.675,0.68132,0.51326,0.000000
q6c-2wh,rings,7,1,1,999,30,10024.4,26,26,1,1.599692,1028.054,0.53045,0.27267,0.000000
q6c-2wh,rings,17,1,1,999,30,10020.9,26,26,1,1.599692,1028.054,0.53045,0.27267,0.000000
q6c-2wh,rings,27,1,1,999,30,10029.2,26,26,1,1.599692,1028.054,0.53045,0.27267,0.000000
q6c-2wh,rings,37,1,1,999,30,10020.4,26,26,1,1.595853,1059.635,0.51464,0.27267,0.000000
q6c-2wh,rings,47,1,1,999,30,10020.2,26,26,1,1.599692,1028.054,0.53045,0.27267,0.000000
q6c-2wh-b2,concave,57,1,1,999,30,10126.6,45,45,1,1.838508,1505.398,0.68190,0.51326,0.000000
q6c-2wh-b2,concave,67,1,1,999,30,10021.6,45,45,1,1.849106,1542.401,0.66554,0.51326,0.000000
q6c-2wh-b2,concave,77,1,1,999,30,10040.8,45,45,1,1.848885,1540.212,0.66648,0.51326,0.000000
q6c-2wh-b2,concave,87,1,1,999,30,10141.3,45,45,1,1.838554,1515.707,0.67726,0.51326,0.000000
q6c-2wh-b2,concave,97,1,1,999,30,10077.8,45,45,1,1.844648,1525.614,0.67286,0.51326,0.000000
headline-before,rects,7,1,1,999,30,10020.7,28,28,1,1986199.875817,1221.727,0.89808,0.54860,0.000000
headline-before,rects,17,1,1,999,30,10006.1,28,28,1,1986225.040282,1242.265,0.88323,0.54860,0.000000
headline-before,rects,27,1,1,999,30,10038.1,28,28,1,1986233.161931,1244.235,0.88183,0.54860,0.000000
headline-before,rects,37,1,1,999,30,10019.8,28,28,1,1986200.816093,1222.316,0.89765,0.54860,0.000000
headline-before,rects,47,1,1,999,30,10028.2,28,28,1,1986228.307317,1243.213,0.88256,0.54860,0.000000
headline-after,rects,7,1,1,999,30,10007.7,28,28,1,1986181.077103,1220.398,0.89906,0.54860,0.000000
headline-after,rects,17,1,1,999,30,10008.2,28,28,1,1986175.857333,1217.788,0.90098,0.54860,0.000000
headline-after,rects,27,1,1,999,30,10011.6,28,28,1,1986155.756048,1206.891,0.90912,0.54860,0.000000
headline-after,rects,37,1,1,999,30,10003.8,28,28,1,1986158.390886,1206.891,0.90912,0.54860,0.000000
headline-after,rects,47,1,1,999,30,10030.4,28,28,1,1986181.077103,1220.398,0.89906,0.54860,0.000000
headline-before,concave,7,1,1,999,30,10053.8,45,45,1,1986980.439551,1609.546,0.63777,0.51326,0.000000
headline-before,concave,17,1,1,999,30,10043.2,45,45,1,1986945.608085,1592.650,0.64454,0.51326,0.000000
headline-before,concave,27,1,1,999,30,10105.7,45,45,1,1986977.753800,1609.598,0.63775,0.51326,0.000000
headline-before,concave,37,1,1,999,30,10106.9,45,45,1,1986897.568233,1568.110,0.65463,0.51326,0.000000
headline-before,concave,47,1,1,999,30,10045.2,45,45,1,1986950.498537,1595.780,0.64328,0.51326,0.000000
headline-after,concave,7,1,1,999,30,10054.1,45,45,1,1986809.027597,1520.307,0.67521,0.51326,0.000000
headline-after,concave,17,1,1,999,30,10046.7,45,45,1,1986758.689930,1495.912,0.68622,0.51326,0.000000
headline-after,concave,27,1,1,999,30,10117.9,45,45,1,1986779.863821,1511.459,0.67916,0.51326,0.000000
headline-after,concave,37,1,1,999,30,10054.8,45,45,1,1986787.740408,1514.796,0.67767,0.51326,0.000000
headline-after,concave,47,1,1,999,30,10075.9,45,45,1,1986765.969009,1503.904,0.68257,0.51326,0.000000
headline-before,rings,7,1,1,999,30,10016.9,26,26,1,1985701.890493,1024.931,0.53207,0.27267,0.000000
headline-before,rings,17,1,1,999,30,10010.1,26,26,1,1985702.859695,1028.107,0.53043,0.27267,0.000000
headline-before,rings,27,1,1,999,30,10035.9,26,26,1,1985709.572240,1028.054,0.53045,0.27267,0.000000
headline-before,rings,37,1,1,999,30,10032.1,26,26,1,1985693.091655,1027.787,0.53059,0.27267,0.000000
headline-before,rings,47,1,1,999,30,10035.7,26,26,1,1985704.203275,1028.054,0.53045,0.27267,0.000000
headline-after,rings,7,1,1,999,30,10032.2,26,26,1,1985578.692312,1028.054,0.53045,0.27267,0.000000
headline-after,rings,17,1,1,999,30,10010.6,26,26,1,1985578.692316,1028.054,0.53045,0.27267,0.000000
headline-after,rings,27,1,1,999,30,10021.2,26,26,1,1985578.692317,1028.054,0.53045,0.27267,0.000000
headline-after,rings,37,1,1,999,30,10015.6,26,26,1,1985578.692316,1028.054,0.53045,0.27267,0.000000
headline-after,rings,47,1,1,999,30,10015.8,26,26,1,1985578.692312,1028.054,0.53045,0.27267,0.000000
sweep-es0,concave,7,1,1,999,30,10053.1,45,45,1,1986788.559887,1516.426,0.67694,0.51326,0.000000
sweep-es0,concave,17,1,1,999,30,10053.2,45,45,1,1986772.378615,1506.720,0.68130,0.51326,0.000000
sweep-es0,concave,27,1,1,999,30,10052.3,45,45,1,1986807.010424,1526.049,0.67267,0.51326,0.000000
sweep-es0,concave,37,1,1,999,30,10144.7,45,45,1,1986768.661856,1507.041,0.68115,0.51326,0.000000
sweep-es0,concave,47,1,1,999,30,10117.0,45,45,1,1986790.345993,1514.773,0.67768,0.51326,0.000000
sweep-es4,concave,7,1,1,999,30,10109.6,45,45,1,1986791.743812,1516.125,0.67707,0.51326,0.000000
sweep-es4,concave,17,1,1,999,30,10147.8,45,45,1,1986732.618093,1484.677,0.69141,0.51326,0.000000
sweep-es4,concave,27,1,1,999,30,10046.0,45,45,1,1986751.972783,1495.876,0.68624,0.51326,0.000000
sweep-es4,concave,37,1,1,999,30,10110.6,45,45,1,1986816.347463,1529.544,0.67113,0.51326,0.000000
sweep-es4,concave,47,1,1,999,30,10089.0,45,45,1,1986828.924292,1531.478,0.67028,0.51326,0.000000
sweep-pop20,concave,7,1,1,999,20,10083.1,45,45,1,1986793.299199,1515.976,0.67714,0.51326,0.000000
sweep-pop20,concave,17,1,1,999,20,10062.2,45,45,1,1986808.377647,1525.000,0.67313,0.51326,0.000000
sweep-pop20,concave,27,1,1,999,20,10148.8,45,45,1,1986795.036024,1519.499,0.67557,0.51326,0.000000
sweep-pop20,concave,37,1,1,999,20,10091.2,45,45,1,1986808.581298,1527.081,0.67221,0.51326,0.000000
sweep-pop20,concave,47,1,1,999,20,10032.3,45,45,1,1986817.432559,1529.247,0.67126,0.51326,0.000000
sweep-pop50,concave,7,1,1,999,50,10125.7,45,45,1,1986765.159372,1501.906,0.68348,0.51326,0.000000
sweep-pop50,concave,17,1,1,999,50,10127.0,45,45,1,1986819.943619,1530.295,0.67080,0.51326,0.000000
sweep-pop50,concave,27,1,1,999,50,10028.4,45,45,1,1986824.574870,1534.087,0.66914,0.51326,0.000000
sweep-pop50,concave,37,1,1,999,50,10087.7,45,45,1,1986807.222059,1526.586,0.67243,0.51326,0.000000
sweep-pop50,concave,47,1,1,999,50,10007.2,45,45,1,1986829.751637,1536.475,0.66810,0.51326,0.000000
sweep-pop120,concave,7,1,1,999,120,10125.2,45,45,1,1986795.640691,1516.494,0.67691,0.51326,0.000000
sweep-pop120,concave,17,1,1,999,120,10158.2,45,45,1,1986819.528912,1525.558,0.67289,0.51326,0.000000
sweep-pop120,concave,27,1,1,999,120,10095.3,45,45,1,1986814.702909,1527.882,0.67186,0.51326,0.000000
sweep-pop120,concave,37,1,1,999,120,10075.9,45,45,1,1986789.382873,1511.845,0.67899,0.51326,0.000000
sweep-pop120,concave,47,1,1,999,120,10013.1,45,45,1,1986806.104235,1524.654,0.67328,0.51326,0.000000
